Club,Pool(s),Country,Founded,Stadium,Capacity,Training Facilities /10,Youth Facilities /10,League Titles,Domestic Cup Wins,European Trophies,Current World Reputation /10,Historical World Reputation /10,Ballon d'Or Winners Played For Club,Transfer Spending /10,Transfer Strategy
SK Sturm Graz,Europa League Pool,Austria,1909,Merkur Arena,16764,6,6,Austrian league 4; Austrian Cup 7,Austrian league 4; Austrian Cup 7,Austrian league 4; Austrian Cup 7,6,6,None known,5,Balanced / selective spending
Union Saint-Gilloise,Europa League Pool,Belgium,1897,Stade Joseph Marien,9400,6,6,Belgian league 11; Belgian Cup 3,Belgian league 11; Belgian Cup 3,Belgian league 11; Belgian Cup 3,6,6,None known,6,Balanced / selective spending
Ferencvárosi Torna Club,Europa League Pool,Hungary,1899,Groupama Arena,22300,6,6,Hungarian league 36; Hungarian Cup 24; European: Fairs Cup 1,Hungarian league 36; Hungarian Cup 24; European: Fairs Cup 1,Hungarian league 36; Hungarian Cup 24; European: Fairs Cup 1,6,6,None known,5,Balanced / selective spending
RSC Anderlecht,Europa League Pool,Belgium,1908,Lotto Park,21500,6,6,"Belgian league 34; Belgian Cup 9; European: Cup Winners' Cup 2, UEFA Cup 1","Belgian league 34; Belgian Cup 9; European: Cup Winners' Cup 2, UEFA Cup 1","Belgian league 34; Belgian Cup 9; European: Cup Winners' Cup 2, UEFA Cup 1",6,6,None known,5,Balanced / selective spending
Lech Poznań,Europa League Pool,Poland,1922,Stadion Poznań,42000,6,6,Polish league 8; Polish Cup 5,Polish league 8; Polish Cup 5,Polish league 8; Polish Cup 5,6,6,None known,5,Balanced / selective spending
Trabzonspor,Europa League Pool,Turkey,1967,Papara Park,41061,6,6,Turkish league 7; Turkish Cup 9,Turkish league 7; Turkish Cup 9,Turkish league 7; Turkish Cup 9,6,6,None known,5,Balanced / selective spending
SL Benfica,Europa League Pool,Portugal,1904,Estádio da Luz,65647,9,10,Portuguese league 38; Taça de Portugal 26; European: European Cup 2,Portuguese league 38; Taça de Portugal 26; European: European Cup 2,Portuguese league 38; Taça de Portugal 26; European: European Cup 2,9,10,Eusébio,6,Balanced / selective spending
Beşiktaş JK,Europa League Pool,Turkey,1903,Tüpraş Stadium,42590,6,6,Turkish league 16; Turkish Cup 11,Turkish league 16; Turkish Cup 11,Turkish league 16; Turkish Cup 11,6,6,None known,5,Balanced / selective spending
FC Red Bull Salzburg,Europa League Pool,Austria,2005,Red Bull Arena,30188,6,6,Austrian league 17; Austrian Cup 10,Austrian league 17; Austrian Cup 10,Austrian league 17; Austrian Cup 10,6,6,None known,6,Balanced / selective spending
Shamrock Rovers,Europa League Pool,Ireland,1901,Tallaght Stadium,10500,6,6,League of Ireland 22; FAI Cup 25,League of Ireland 22; FAI Cup 25,League of Ireland 22; FAI Cup 25,6,6,None known,5,Balanced / selective spending
Ajax,Europa League Pool,Netherlands,1900,Johan Cruyff Arena,55865,10,10,"Eredivisie 36; KNVB Cup 20; European: European Cup/Champions League 4, UEFA Cup 1, Cup Winners' Cup 1","Eredivisie 36; KNVB Cup 20; European: European Cup/Champions League 4, UEFA Cup 1, Cup Winners' Cup 1","Eredivisie 36; KNVB Cup 20; European: European Cup/Champions League 4, UEFA Cup 1, Cup Winners' Cup 1",9,10,Johan Cruyff; Marco van Basten,6,Balanced / selective spending
FC Midtjylland,Europa League Pool,Denmark,1999,MCH Arena,11809,6,6,Danish league 4; Danish Cup 2,Danish league 4; Danish Cup 2,Danish league 4; Danish Cup 2,6,6,None known,5,Balanced / selective spending
KRC Genk,Europa League Pool,Belgium,1988,Cegeka Arena,23500,6,6,Belgian league 4; Belgian Cup 5,Belgian league 4; Belgian Cup 5,Belgian league 4; Belgian Cup 5,6,6,None known,6,Balanced / selective spending
BSC Young Boys,Europa League Pool,Switzerland,1898,Wankdorf Stadium,31895,6,6,Swiss league 17; Swiss Cup 8,Swiss league 17; Swiss Cup 8,Swiss league 17; Swiss Cup 8,6,6,None known,5,Balanced / selective spending
FC Basel 1893,Europa League Pool,Switzerland,1893,St. Jakob-Park,38512,6,6,Swiss league 20; Swiss Cup 13,Swiss league 20; Swiss Cup 13,Swiss league 20; Swiss Cup 13,6,6,None known,5,Balanced / selective spending
Malmö FF,Europa League Pool,Sweden,1910,Eleda Stadion,22500,6,6,Swedish league 24; Swedish Cup 15,Swedish league 24; Swedish Cup 15,Swedish league 24; Swedish Cup 15,6,6,None known,5,Balanced / selective spending
Sporting Clube de Braga,Europa League Pool,Portugal,1921,Estádio Municipal de Braga,30286,6,6,Portuguese Cup 3; League Cup 3,Portuguese Cup 3; League Cup 3,Portuguese Cup 3; League Cup 3,6,6,None known,5,Balanced / selective spending
PAOK,Europa League Pool,Greece,1926,Toumba Stadium,28703,6,6,Greek league 4; Greek Cup 8,Greek league 4; Greek Cup 8,Greek league 4; Greek Cup 8,6,6,None known,5,Balanced / selective spending
Viktoria Plzeň,Europa League Pool,Czech Republic,1911,Doosan Arena,12000,6,6,Czech league 6; Czech Cup 2,Czech league 6; Czech Cup 2,Czech league 6; Czech Cup 2,6,6,None known,5,Balanced / selective spending
Legia Warszawa,Europa League Pool,Poland,1916,Stadion Wojska Polskiego,31800,6,6,Polish league 15; Polish Cup 20,Polish league 15; Polish Cup 20,Polish league 15; Polish Cup 20,6,6,None known,5,Balanced / selective spending
Lazio,Europa League Pool,Italy,1900,Stadio Olimpico,70634,6,6,"Serie A 2; Coppa Italia 7; European: Cup Winners' Cup 1, UEFA Super Cup 1","Serie A 2; Coppa Italia 7; European: Cup Winners' Cup 1, UEFA Super Cup 1","Serie A 2; Coppa Italia 7; European: Cup Winners' Cup 1, UEFA Super Cup 1",6,6,None known,5,Balanced / selective spending
FC København,Europa League Pool,Denmark,1992,Parken,38065,6,6,Danish league 15; Danish Cup 9,Danish league 15; Danish Cup 9,Danish league 15; Danish Cup 9,6,6,None known,5,Balanced / selective spending
